station_code,station_name,station_type,latitude,longitude,line_color,landline,previous_station,next_station,has_lift,has_escalator,is_interchange,parking_available
S55,SECTOR 55-56,Elevated,28.4234,77.1052,RMGL,0124-2800011,,SECTOR-54 CHOWK,True,True,False,False
AIT,SECTOR-54 CHOWK,Elevated,28.431,77.1028,RMGL,0124-2800010,SECTOR 55-56,SECTOR-53-54,True,True,False,False
S53,SECTOR-53-54,Elevated,28.4464,77.0982,RMGL,0124-2800009,SECTOR-54 CHOWK,SECTOR-42-43,True,True,False,False
SUL,SECTOR-42-43,Elevated,28.4574,77.0947,RMGL,0124-2800008,SECTOR-53-54,PHASE-1,True,True,False,False
PH1,PHASE-1,Elevated,28.4706,77.0932,RMGL,0124-2800007,SECTOR-42-43,SIKANDERPUR,True,True,False,False
SKRP,SIKANDERPUR,Elevated,28.4813,77.0931,Yellow Line,7290053093,,,True,True,True,True
DL2,PHASE-2,Elevated,28.4873,77.0931,RMGL,0124-2800002,SIKANDERPUR,BELVEDERE TOWERS,True,True,False,False
BEL,BELVEDERE TOWERS,Elevated,28.4923,77.0884,RMGL,0124-2800003,PHASE-2,CYBER CITY,True,True,False,False
GAT,CYBER CITY,Elevated,28.4977,77.0894,RMGL,0124-2800004,BELVEDERE TOWERS,MOULSARI AVENUE,True,True,False,False
MAL,MOULSARI AVENUE,Elevated,28.4997,77.0939,RMGL,0124-2800005,CYBER CITY,PHASE-3,True,True,False,False
DL3,PHASE-3,Elevated,28.4925,77.0919,RMGL,0124-2800006,MOULSARI AVENUE,,True,True,False,False
